tconst,averageRating,numVotes,originalTitle,startYear,predictRating,residuals
tt0035423,6.4,81421,Kate & Leopold,2001,6.761127108141141,-0.36112710814114024
tt0069049,6.8,6864,The Other Side of the Wind,2018,6.3837899992197356,0.41621000078026427
tt0094997,4.6,1432,Demonia,1990,5.103359178951138,-0.503359178951138
tt0096786,3.2,1557,Alienator,1990,4.240586729081698,-1.0405867290816975
tt0096875,5.3,3795,Catchfire,1990,5.261922057336168,0.0380779426638318
tt0097106,7.2,4186,Conte de printemps,1990,7.152524753298943,0.047475246701057294
tt0097253,7.6,1324,Dezha vyu,1990,8.398868627351458,-0.7988686273514585
tt0097416,7.2,1912,Kadhalan,1994,6.573927096285118,0.6260729037148822
tt0097550,5.6,1138,I Bought a Vampire Motorcycle,1990,4.963445472511449,0.6365545274885509
tt0097573,4.4,1593,In the Cold of the Night,1990,3.295137865129457,1.1048621348705434
tt0097769,5.8,1540,The Local Stigmatic,1990,5.979107886627484,-0.17910788662748445
tt0097775,5.8,2720,Long hang tian xia,1992,6.387237668678072,-0.587237668678072
tt0097851,8.3,1180,Mathilukal,1990,7.542753740066376,0.7572462599336252
tt0097884,7.3,3066,Milou en mai,1990,7.343063426250499,-0.04306342625049897
tt0097910,5.1,5065,Moon 44,1990,5.461325315547589,-0.36132531554758973
tt0098063,5.6,3690,Paprika,1991,5.268405485242088,0.3315945147579118
tt0098375,4.8,2524,Spontaneous Combustion,1990,4.389741717560891,0.4102582824391092
tt0098486,6.5,2433,Der Todesking,1990,5.7259628749733,0.7740371250267
tt0098532,7.6,9536,Tulitikkutehtaan tyttö,1990,7.33884848391904,0.2611515160809592
tt0098606,6.3,2813,La voce della luna,1990,6.068675209435036,0.23132479056496358
tt0098966,5.5,23904,3 Men and a Little Lady,1990,5.282493124364618,0.21750687563538218
tt0098967,6.8,6545,3-4 x jûgatsu,1990,6.809874941600562,-0.009874941600561904
tt0098987,6.4,17751,The Adventures of Ford Fairlane,1990,6.670520114522232,-0.270520114522232
tt0098994,6.6,3450,"After Dark, My Sweet",1990,6.365461329887416,0.23453867011258378
tt0098999,7.7,8711,Agneepath,1990,6.707125851296017,0.9928741487039829
tt0099005,5.8,27976,Air America,1990,6.670675819039979,-0.8706758190399793
tt0099012,6.6,14004,Alice,1990,6.679594622645627,-0.07959462264562767
tt0099018,5.6,4419,Almost an Angel,1990,5.522843452949833,0.0771565470501665
tt0099026,5.9,3402,The Ambulance,1990,6.454480200434571,-0.554480200434571
tt0099040,7.5,7117,An Angel at My Table,1990,6.446665312997923,1.053334687002077
tt0099043,8.2,2956,Anjali,1990,8.262950272133503,-0.06295027213350401
tt0099044,5.9,40369,Another 48 Hrs.,1990,5.763710237919542,0.13628976208045795
tt0099052,6.4,66669,Arachnophobia,1990,6.5507682343480145,-0.15076823434801412
tt0099053,6.5,1416,Archangel,1990,6.823248283738751,-0.32324828373875114
tt0099073,7.2,6138,Avalon,1990,6.193743950110415,1.0062560498895854
tt0099077,7.8,132831,Awakenings,1990,7.4005913371974685,0.3994086628025313
tt0099080,5.7,1518,Baaghi: A Rebel for Love,1990,4.929309978594269,0.7706900214057315
tt0099088,7.4,422199,Back to the Future Part III,1990,6.870902923997918,0.5290970760020821
tt0099091,6.3,9270,Bad Influence,1990,6.332482951833124,-0.03248295183312422
tt0099108,5.4,4725,Basket Case 2,1990,5.277085069487022,0.12291493051297842
tt0099128,5.6,3678,Betsy's Wedding,1990,5.671273855903392,-0.0712738559033923
tt0099136,5.8,1079,The Big Man,1990,5.958174245799459,-0.15817424579945882
tt0099138,6.9,1075,The Big Steal,1990,7.10764186414323,-0.2076418641432296
tt0099141,6.0,42818,Bird on a Wire,1990,6.3827401312640655,-0.3827401312640655
